id,name,party,sector,type
F500,Folge 500,na,na,2
UL,Ursula von der Leyen,CDU,Politik,1
LK,Lars Klingbeil,SPD,Politik,1
NR,Norbert Röttgen,CDU,Politik,1
SW,Sahra Wagenknecht,Linke,Politik,1
CS,Constanze Stelzenmüller,na,Juristik,1
F501,Folge 501,na,na,2
CL,Christian Lindner,FDP,Politik,1
KS,Karl Schlögel,na,Historik,1
LM,Ljudmyla Melnyk,na,Ukraine,1
KD,Kristina Dunz,na,Medien,1
EL,Egils Levits,na,Lettland,1
F502,Folge 502,na,na,2
AB,Annalena Baerbock,Grünen,Politik,1
FT,Frans Timmermans,na,Europäische Kommission ,1
AM,Andrij Melnyk,na,Ukraine,1
AGL,Alexander Graf Lambsdorff,FDP,Politik,1
ER,Egon Ramms,na,Militär,1
F503,Folge 503,na,NA,2
RH,Robert Habeck,Grünen,Politik,1
CM,Claudia Major,na,Politik,1
KP,Katja Petrowskaja,na,Medien,1
RK,Roderich Kiesewetter,CDU,Politik,1
F504,Folge 504,na,na,2
CLT,Christine Lambrecht,SPD,Politik,1
SB,Stefanie Babst,na,Politik,1
CH,Christoph Heusgen,na,Politik,1
MW,Marina Weisband,na,Medien,1